read|ssize_t|int,fd,void *,buf,size_t,count|-1|EAGAIN,EBADF,EFAULT,EINTR,EINVAL,EIO,EISDIR
pread|ssize_t|int,fd,void *,buf,size_t,count,off_t,offset|-1|EAGAIN,EBADF,EFAULT,EINTR,EINVAL,EIO,EISDIR

getc|int|FILE *,stream|EOF|
getchar|int||EOF|
getline|ssize_t|char **,lineptr,size_t *,n,FILE *,stream|-1|

fgetc|int|FILE *,stream|EOF|
fgets|char *|char *,s,int,size,FILE *,stream|NULL|
fread|size_t|void *,ptr,size_t,size,size_t,nmemb,FILE *,stream|EOF|

getc_unlocked|int|FILE *,stream|EOF|
getchar_unlocked|int||EOF|

fgetc_unlocked|int|FILE *,stream|EOF|
fgets_unlocked|char *|char *,s,int,size,FILE *,stream|NULL|
fread_unlocked|size_t|void *,ptr,size_t,size,size_t,nmemb,FILE *,stream|EOF|
